id,date,product,units,revenue,location,weather,notes
1,2026-05-15,Matcha Latte,12,84,Stoneybatter,cloudy,Friday evening rush
2,2026-05-15,Mori Blend (250g bag),32,448,Stoneybatter,cloudy,Friday evening rush
3,2026-05-16,Cortado,11,38.5,The Docklands — Mayor Square,rain,Saturday pop-up day
4,2026-05-16,Espresso Tonic,15,112.5,Grand Canal Dock,rain,Saturday pop-up day
5,2026-05-17,Buttered Croissant,35,122.5,Smithfield Square,cloudy,Sunday market
6,2026-05-17,Matcha Latte,26,182,Smithfield Square,cloudy,Sunday market
7,2026-05-18,Cold Brew Tonic,20,130,Grand Canal Dock,sunny,weekday service
8,2026-05-18,Cold Brew Tonic,22,143,Temple Bar,sunny,weekday service
9,2026-05-18,Matcha Latte,23,161,Smithfield Square,sunny,weekday service
10,2026-05-19,Mori Blend (250g bag),33,462,The Docklands — Mayor Square,sunny,weekday service
11,2026-05-19,Cold Brew Tonic,13,84.5,Stoneybatter,sunny,weekday service
12,2026-05-20,Pour-Over,8,44,Smithfield Square,windy,weekday service
13,2026-05-20,Buttered Croissant,25,87.5,The Docklands — Mayor Square,windy,weekday service
14,2026-05-20,Buttered Croissant,9,31.5,Temple Bar,windy,weekday service
15,2026-05-20,Espresso Tonic,22,165,The Docklands — Mayor Square,windy,weekday service
16,2026-05-21,Cold Brew Tonic,13,84.5,Smithfield Square,rain,weekday service
17,2026-05-21,Pour-Over,6,33,Temple Bar,rain,weekday service
18,2026-05-22,Matcha Latte,35,245,Grand Canal Dock,windy,Friday evening rush
19,2026-05-22,Pour-Over,19,104.5,Stoneybatter,windy,Friday evening rush
20,2026-05-22,Mori Blend (250g bag),27,378,Stoneybatter,windy,Friday evening rush
21,2026-05-22,Pour-Over,28,154,Grand Canal Dock,windy,Friday evening rush
22,2026-05-23,Espresso Tonic,36,270,Stoneybatter,cloudy,Saturday pop-up day
23,2026-05-23,Espresso Tonic,28,210,Stoneybatter,cloudy,Saturday pop-up day
