id,item,category,quantity,unit,notes
1,Ethiopia Yirgacheffe beans,coffee,18,kg,"covers ~1,100 espresso drinks"
2,Colombia Huila beans,coffee,14,kg,pour-over + retail bags
3,Cold brew concentrate,coffee,40,L,pre-brewed 2 days before
4,Oat milk,dairy alt,36,L,barista blend
5,Tonic water,syrup/soft,48,can,signature drinks
6,Matcha (ceremonial),ingredients,3,kg,~450 servings
7,Paper cups 12oz,packaging,900,units,eco compostable
8,Paper cups 8oz,packaging,300,units,eco compostable
9,Napkins + straws,packaging,800,units,compostable
10,Propane canisters,kit,4,units,generator fuel for evening hours
